species,host,county,date,,,
Dermacentor andersoni,none,Larimer,4/4/18,,,
Dermacentor variabilis,Dog,Boulder,5/18/18,,,
Dermacentor andersoni,Cat,Alamosa,5/23/18,,,
Dermacentor andersoni,NA,Saguache,6/6/18,,,
Dermacentor andersoni,Dog,Denver,6/13/18,,,
Dermacentor variabilis,Dog,Boulder,7/3/18,,,
Dermacentor andersoni,Dog,Denver,7/18/18,,,
Dermacentor variabilis,Dog,Larimer,7/26/18,,,
Dermacentor variabilis,Dog,El Paso,7/28/18,,,
Dermacentor variabilis,Dog,Boulder,8/19/18,,,
Dermacentor andersoni,Human,Boulder,1/25/19,,,
Dermacentor variabilis,Dog,Larimer,4/11/19,,,
Dermacentor variabilis,Dog,Boulder,4/15/19,,,
Dermacentor andersoni,Dog,Boulder,4/19/19,,,
Dermacentor andersoni,Human,Summit,4/20/19,,,
Dermacentor andersoni,Human,El Paso ,4/26/19,,,
Dermacentor variabilis,Human,Sedgwick,4/26/19,,,
Dermacentor andersoni,Dog,Douglas,4/28/19,,,
Dermacentor variabilis,Dog,Boulder,5/1/19,,,
Dermacentor variabilis,Dog,Larimer,5/2/19,,,
Dermacentor andersoni,Dog,Boulder,5/3/19,,,
Dermacentor variabilis,Human,Logan ,5/6/19,,,
Dermacentor variabilis,Cat,Boulder,5/6/19,,,
Dermacentor variabilis,Dog,Boulder,5/6/19,,,
Dermacentor variabilis,Dog,Boulder,5/7/19,,,
Dermacentor variabilis,Dog,Larimer,5/7/19,,,
Dermacentor variabilis,Dog,Boulder,5/8/19,,,
Dermacentor variabilis,Dog,Boulder,5/9/19,,,
Dermacentor variabilis,Dog,Larimer,5/9/19,,,
Dermacentor andersoni,Dog,Golden,5/15/19,,,
Dermacentor variabilis,Dog,Boulder,5/18/19,,,
Dermacentor andersoni,Dog,Boulder,5/22/19,,,
Dermacentor variabilis,Dog,Jefferson,5/23/19,,,
Dermacentor variabilis,Dog,Boulder,6/1/19,,,
Dermacentor andersoni,Dog,Douglas,6/4/19,,,
Dermacentor variabilis,Dog,Larimer,6/4/19,,,
Dermacentor variabilis,Dog,Boulder,6/10/19,,,
Dermacentor variabilis,Dog,Boulder,6/17/19,,,
Dermacentor andersoni,Dog,Broomfield,6/18/19,,,
Dermacentor variabilis,Dog,Summit,6/20/19,,,
Dermacentor variabilis,Human,Denver,6/29/19,,,
Dermacentor andersoni,Human,Montrose,7/4/19,,,
Dermacentor variabilis,Dog,Broomfield,7/8/19,,,
Dermacentor variabilis,Dog,Larimer,7/19/19,,,
Dermacentor variabilis ,Dog,Larimer,7/26/19,,,
Dermacentor variabilis,Dog,Boulder,8/11/19,,,
Dermacentor variabilis,Dog,Morgan,8/13/19,,,
Dermacentor andersoni,Dog,Boulder,4/11/20,,,
Dermacentor variabilis,Dog,Larimer,4/18/20,,,
Dermacentor andersoni,Dog,Boulder,4/20/20,,,
Dermacentor variabilis,Dog,Boulder,5/1/20,,,
Dermacentor variabilis,Human,Boulder,5/6/20,,,
Dermacentor variabilis,Dog,Larimer,5/7/20,,,
Dermacentor andersoni,Dog,Chaffee,5/10/20,,,
Dermacentor variabilis,Dog,Larimer,5/13/20,,,
Dermacentor variabilis,Dog,Larimer,5/15/20,,,
Dermacentor andersoni,Dog,Boulder,5/18/20,,,
Dermacentor variabilis,Dog,Boulder,5/26/20,,,
Dermacentor variabilis,Dog,Larimer,5/28/20,,,
Dermacentor variabilis,Dog,Larimer,6/1/20,,,
Dermacentor variabilis,Dog,Larimer,6/11/20,,,
Dermacentor andersoni,Dog,Routt,6/16/20,,,
Dermacentor variabilis,Dog,Larimer,7/8/20,,,
Dermacentor variabilis,Dog,Larimer,7/27/20,,,
Dermacentor andersoni,Dog,Garfield,9/4/20,,,
Dermacentor variabilis,Dog,Yuma,5/1/18,,,
Dermacentor variabilis,Dog,Yuma,5/24/18,,,
Dermacentor variabilis,Dog,Yuma,5/30/18,,,
Dermacentor variabilis,Dog,Yuma,5/31/18,,,
Dermacentor variabilis,Dog,Yuma,6/5/18,,,
Dermacentor variabilis,Dog,Yuma,6/7/18,,,
Dermacentor variabilis,Dog,Yuma,6/7/18,,,
Dermacentor variabilis,Dog,Yuma,6/8/18,,,
Dermacentor variabilis,Dog,Yuma,6/15/18,,,
Dermacentor variabilis,Dog,Yuma,6/18/18,,,
Dermacentor variabilis,Dog,Yuma,6/23/18,,,
Dermacentor variabilis,Dog,Yuma,6/27/18,,,
Dermacentor variabilis,Dog,Yuma,7/3/18,,,
Dermacentor variabilis,Dog,Yuma,7/5/18,,,
Dermacentor variabilis,Dog,Broomfield,7/20/18,,,
Dermacentor andersoni,Dog,Douglas,4/23/19,,,
Dermacentor andersoni,Cat,Jefferson,5/11/19,,,
Dermacentor variabilis,Dog,Douglas,6/8/19,,,
Dermacentor variabilis,Dog,Yuma,6/14/19,,,
Dermacentor variabilis,Dog,Broomfield,6/25/19,,,
Dermacentor variabilis,Dog,Yuma,NA,,,
Dermacentor variabilis,Dog,Larimer,5/14/20,,,
Dermacentor variabilis,Dog,Larimer,5/28/20,,,
Dermacentor variabilis,Dog,Douglas,6/8/20,,,
Dermacentor variabilis,Dog,Douglas,6/24/20,,,
Dermacentor variabilis,Dog,Larimer,NA,,,
DERMACENTOR ANDERSONI,HUMAN,BOULDER,5/16/17,2017,5,16
DERMACENTOR ANDERSONI,HUMAN,BOULDER,6/20/17,2017,6,20
DERMACENTOR ANDERSONI,HUMAN,DELTA,6/16/17,2017,6,16
DERMACENTOR ANDERSONI,HUMAN,BOULDER,6/19/17,2017,6,19
DERMACENTOR ANDERSONI,HUMAN,ROUTT,6/24/17,2017,6,24
DERMACENTOR ANDERSONI,HUMAN,RIO GRANDE,6/11/17,2017,6,11
DERMACENTOR ANDERSONI,HUMAN,BOULDER,6/27/17,2017,6,27
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,5/11/16,2016,5,11
DERMACENTOR ANDERSONI,HUMAN,BOULDER,5/20/16,2016,5,20
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,6/1/16,2016,6,1
DERMACENTOR ANDERSONI,HUMAN,OURAY,5/30/16,2016,5,30
DERMACENTOR ANDERSONI,DOG,DENVER,6/6/16,2016,6,6
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,6/2/16,2016,6,2
DERMACENTOR ANDERSONI,none,GUNNISON,6/15/16,2016,6,15
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,8/9/16,2016,8,9
DERMACENTOR ANDERSONI,HUMAN,PITKIN,6/24/16,2016,6,24
DERMACENTOR ANDERSONI,HUMAN,BOULDER,7/14/16,2016,7,14
DERMACENTOR ANDERSONI,HUMAN,JEFFERSON,6/28/16,2016,6,28
DERMACENTOR ANDERSONI,HUMAN,JEFFERSON,3/16/17,2017,3,16
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,4/12/17,2017,4,12
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,4/12/17,2017,4,12
DERMACENTOR ANDERSONI,none,LARIMER,4/16/17,2017,4,16
DERMACENTOR ANDERSONI,none,LARIMER,4/16/17,2017,4,16
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,4/19/17,2017,4,19
DERMACENTOR ANDERSONI,HUMAN,DELTA,4/20/17,2017,4,20
DERMACENTOR ANDERSONI,HUMAN,BOULDER,4/23/17,2017,4,23
DERMACENTOR ANDERSONI,none,ROUTT,4/23/17,2017,4,23
DERMACENTOR ANDERSONI,HUMAN,ROUTT,5/8/17,2017,5,8
DERMACENTOR ANDERSONI,HUMAN,GARFIELD,5/7/17,2017,5,7
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,4/18/16,2016,4,18
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,5/11/17,2017,5,11
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,5/11/17,2017,5,11
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,5/11/17,2017,5,11
DERMACENTOR ANDERSONI,HUMAN,WELD,5/11/17,2017,5,11
DERMACENTOR ANDERSONI,HUMAN,WELD,5/11/17,2017,5,11
DERMACENTOR ANDERSONI,HUMAN,PARK,4/3/17,2017,4,3
DERMACENTOR ANDERSONI,HUMAN,ALAMOSA,5/6/17,2017,5,6
DERMACENTOR ANDERSONI,HUMAN,LARIMER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,HUMAN,BOULDER,5/21/17,2017,5,21
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,5/24/17,2017,5,24
DERMACENTOR ANDERSONI,HUMAN,BOULDER,4/17/16,2016,4,17
DERMACENTOR ANDERSONI,HUMAN,GRAND,5/28/17,2017,5,28
DERMACENTOR ANDERSONI,none,BOULDER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,none,BOULDER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,none,BOULDER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,none,BOULDER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,none,BOULDER,5/15/17,2017,5,15
DERMACENTOR ANDERSONI,HUMAN,CHAFFEE,4/28/17,2017,4,28
DERMACENTOR ANDERSONI,HUMAN,DENVER,6/6/17,2017,6,6
DERMACENTOR ANDERSONI,HUMAN,BOULDER,6/8/17,2017,6,8
DERMACENTOR ANDERSONI,HUMAN,LARIMER,6/4/17,2017,6,4
DERMACENTOR VARIABILIS,Dog,Chaffee,6/7/17,2017,6,7
DERMACENTOR VARIABILIS,Human,Chaffee,6/29/17,2017,6,29
DERMACENTOR VARIABILIS,Dog,Saguache,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Dog,Chaffee,6/26/17,2017,6,26
DERMACENTOR VARIABILIS,Human,Chaffee,6/4/17,2017,6,4
DERMACENTOR VARIABILIS,Dog,Kit Carson,9/28/17,2017,9,28
DERMACENTOR ANDERSONI,human,Chaffee,4/8/18,2018,4,8
DERMACENTOR ANDERSONI,Human,Saguache,6/19/18,2018,6,19